depth,samples,mean_moisture,std_moisture,min_moisture,max_moisture
-1.0, 100, 1.930713, 0.3595123, 0.6363636, 3.756494
1.0, 100, 97.73006, 0.3720852, 96.61039, 99.51948
0.9, 100, 96.89502, 0.2724153, 96.09091, 98.11688
0.8, 100, 95.78389, 0.2791724, 95.20454, 97.38961
0.7, 100, 95.02504, 0.3072524, 94.32143, 96.4026
0.6, 100, 93.23162, 0.3577212, 91.20454, 94.47727
0.5, 100, 91.16809, 0.3773684, 88.86688, 92.29546
0.4, 100, 88.71935, 0.3971114, 87.25649, 90.11364
0.3, 100, 85.36481, 0.2748208, 84.55519, 86.73701
0.2, 100, 80.28506, 0.4175071, 79.51299, 81.53896
0.1, 100, 72.03469, 0.3314423, 70.99351, 73.38312
0.0, 100, 47.853, 0.6814791, 46.77922, 49.58442
0.0, 100, 52.20723, 0.5191311, 50.67532, 54.46753
0.0, 100, 52.06464, 0.6252329, 50.51948, 54.0
-0.01, 100, 44.88086, 0.9044493, 42.46429, 46.67532
-0.02, 100, 35.93098, 0.4645391, 34.62013, 37.47727
-0.03, 100, 14.51306, 0.3460808, 13.26299, 15.60065
-0.04, 100, 6.37213, 0.2845014, 4.795455, 7.600649
